"trial_type","trial_index","time_elapsed","internal_node_id","rand_id","tempo","melody","rt","url","stimulus","key_press","button_pressed","correctRESP","correct","designation","harmony","response","term","AUD_PASS","responses","VIS_PASS"
"pavlovia","0","3","0.0-0.0","hhr9ph","80","melody_01","","","","","","","","","","","","","",""
"external-html","1","24403","0.0-1.0","hhr9ph","80","melody_01","24242","consent/consent.html","","","","","","","","","","","",""
"html-keyboard-response","2","26219","0.0-2.0","hhr9ph","80","melody_01","1815","","Welcome to the study. Press any key to begin.","32","","","","","","","","","",""
"html-keyboard-response","3","29781","0.0-3.0-0.0","hhr9ph","80","melody_01","3560","","<p>Before we begin the main task, you will complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p><p></p>(Press SPACEBAR to continue)","32","","","","","","","","","",""
"html-keyboard-response","4","34402","0.0-3.0-1.0","hhr9ph","80","melody_01","4369","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p><p></p>(Press SPACEBAR to listen)","32","","","","","","","","","",""
"audio-button-response","5","43169","0.0-3.0-2.0","hhr9ph","80","melody_01","8513","","audCalib/volumetest.mp3","","0","","","","","","","","",""
"html-keyboard-response","6","47177","0.0-4.0-0.0","hhr9ph","80","melody_01","4007","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occurred first, second, or third.</p><p>There are six trials in total.<p></p><p></p>(Press SPACEBAR to begin)","32","","","","","","","","","",""
"html-keyboard-response","7","47931","0.0-4.0-1.0-0.0","hhr9ph","80","melody_01","null","","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","",""
"audio-button-response","8","50289","0.0-4.0-1.0-1.0","hhr9ph","80","melody_01","2355","","audCalib/t2_1.mp3","","1","1","1","headphone-test","","","","","",""
"html-keyboard-response","9","50790","0.0-4.0-1.0-2.0","hhr9ph","80","melody_01","null","","<p>Correct</p>","null","","","","","","","","","",""
"html-keyboard-response","10","51292","0.0-4.0-1.0-0.1","hhr9ph","80","melody_01","null","","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","",""
"audio-button-response","11","53817","0.0-4.0-1.0-1.1","hhr9ph","80","melody_01","2524","","audCalib/t2_2.mp3","","1","1","1","headphone-test","","","","","",""
"html-keyboard-response","12","54318","0.0-4.0-1.0-2.1","hhr9ph","80","melody_01","null","","<p>Correct</p>","null","","","","","","","","","",""
"html-keyboard-response","13","54820","0.0-4.0-1.0-0.2","hhr9ph","80","melody_01","null","","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","",""
"audio-button-response","14","56233","0.0-4.0-1.0-1.2","hhr9ph","80","melody_01","1411","","audCalib/t1_2.mp3","","0","0","1","headphone-test","","","","","",""
"html-keyboard-response","15","56733","0.0-4.0-1.0-2.2","hhr9ph","80","melody_01","null","","<p>Correct</p>","null","","","","","","","","","",""
"html-keyboard-response","16","57234","0.0-4.0-1.0-0.3","hhr9ph","80","melody_01","null","","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","",""
"audio-button-response","17","59705","0.0-4.0-1.0-1.3","hhr9ph","80","melody_01","2470","","audCalib/t3_1.mp3","","2","2","1","headphone-test","","","","","",""
"html-keyboard-response","18","60207","0.0-4.0-1.0-2.3","hhr9ph","80","melody_01","null","","<p>Correct</p>","null","","","","","","","","","",""
"html-keyboard-response","19","60710","0.0-4.0-1.0-0.4","hhr9ph","80","melody_01","null","","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","",""
"audio-button-response","20","61680","0.0-4.0-1.0-1.4","hhr9ph","80","melody_01","968","","audCalib/t1_1.mp3","","0","0","1","headphone-test","","","","","",""
"html-keyboard-response","21","62182","0.0-4.0-1.0-2.4","hhr9ph","80","melody_01","null","","<p>Correct</p>","null","","","","","","","","","",""
"html-keyboard-response","22","62683","0.0-4.0-1.0-0.5","hhr9ph","80","melody_01","null","","<div style=""font-size:60px;"">+</div>","null","","","","","","","","","",""
"audio-button-response","23","66304","0.0-4.0-1.0-1.5","hhr9ph","80","melody_01","3619","","audCalib/t3_2.mp3","","2","2","1","headphone-test","","","","","",""
"html-keyboard-response","24","66806","0.0-4.0-1.0-2.5","hhr9ph","80","melody_01","null","","<p>Correct</p>","null","","","","","","","","","",""
"html-button-response","25","78984","0.0-5.0","hhr9ph","80","melody_01","12178","","<p><b>Music judgment task</b></p><p>Imagine that a music composer has come to you for feedback.</br>The composer just wrote a new, short melody and wants to know what kinds of feelings it conveys to you.</p><p>Your job is to listen to the melody. After the melody is over, you will be asked to rate the melody on a few adjectives.</br>You will also be asked how much you like the melody.</p><p>When you are ready to listen to the melody, press the button labeled 'Begin'</p>","","0","","","","","","","","",""
"audio-keyboard-response","26","92291","0.0-6.0-0.0","hhr9ph","80","melody_01","null","","80/melody_01/b01.mp3","null","","","","","base-melody","","","","",""
"html-slider-response","27","95416","0.0-6.0-1.0","hhr9ph","80","melody_01","3122","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","base-melody","24","joyful","","",""
"html-slider-response","28","107864","0.0-6.0-2.0","hhr9ph","80","melody_01","12447","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","base-melody","67","bittersweet","","",""
"html-slider-response","29","115209","0.0-6.0-3.0","hhr9ph","80","melody_01","7345","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","base-melody","39","carefree","","",""
"html-slider-response","30","120142","0.0-6.0-4.0","hhr9ph","80","melody_01","4932","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","base-melody","78","sorrowful","","",""
"html-slider-response","31","122959","0.0-6.0-5.0","hhr9ph","80","melody_01","2816","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","base-melody","70","liking","","",""
"html-button-response","32","131510","0.0-7.0","hhr9ph","80","melody_01","8550","","<p>Thank you for your responses.</p><p>Now, imagine that the composer is testing out different versions of the melody you just heard.</p><p>Your job is to listen to these different versions of the melody. You will be asked to rate each melody on a few adjectives.</br>You will also be asked how much you like each melody.</br>There are 13 versions in total.</p><p>When you are ready to listen to the different versions of the melody, press the button labeled 'Begin'</p>","","0","","","","","","","","",""
"audio-keyboard-response","33","144846","0.0-8.0-0.0","hhr9ph","80","melody_01","null","","80/melody_01/b06.mp3","null","","","","","75-major","","","","",""
"html-slider-response","34","147422","0.0-8.0-1.0","hhr9ph","80","melody_01","2574","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","75-major","26","carefree","","",""
"html-slider-response","35","149174","0.0-8.0-2.0","hhr9ph","80","melody_01","1751","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","75-major","56","sorrowful","","",""
"html-slider-response","36","151118","0.0-8.0-3.0","hhr9ph","80","melody_01","1943","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","75-major","62","joyful","","",""
"html-slider-response","37","152942","0.0-8.0-4.0","hhr9ph","80","melody_01","1823","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","75-major","76","bittersweet","","",""
"html-slider-response","38","154846","0.0-8.0-5.0","hhr9ph","80","melody_01","1903","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","75-major","72","liking","","",""
"audio-keyboard-response","39","167917","0.0-8.0-0.1","hhr9ph","80","melody_01","null","","80/melody_01/b12.mp3","null","","","","","ton-maj-1","","","","",""
"html-slider-response","40","171870","0.0-8.0-1.1","hhr9ph","80","melody_01","3952","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","ton-maj-1","57","sorrowful","","",""
"html-slider-response","41","175798","0.0-8.0-2.1","hhr9ph","80","melody_01","3927","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","ton-maj-1","38","joyful","","",""
"html-slider-response","42","177296","0.0-8.0-3.1","hhr9ph","80","melody_01","1497","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","ton-maj-1","36","bittersweet","","",""
"html-slider-response","43","179494","0.0-8.0-4.1","hhr9ph","80","melody_01","2196","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","ton-maj-1","58","carefree","","",""
"html-slider-response","44","180830","0.0-8.0-5.1","hhr9ph","80","melody_01","1336","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","ton-maj-1","33","liking","","",""
"audio-keyboard-response","45","193885","0.0-8.0-0.2","hhr9ph","80","melody_01","null","","80/melody_01/b10.mp3","null","","","","","ton-min-2","","","","",""
"html-slider-response","46","196766","0.0-8.0-1.2","hhr9ph","80","melody_01","2879","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","ton-min-2","35","sorrowful","","",""
"html-slider-response","47","198550","0.0-8.0-2.2","hhr9ph","80","melody_01","1782","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","ton-min-2","70","joyful","","",""
"html-slider-response","48","200030","0.0-8.0-3.2","hhr9ph","80","melody_01","1480","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","ton-min-2","30","bittersweet","","",""
"html-slider-response","49","201742","0.0-8.0-4.2","hhr9ph","80","melody_01","1711","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","ton-min-2","37","carefree","","",""
"html-slider-response","50","202950","0.0-8.0-5.2","hhr9ph","80","melody_01","1207","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","ton-min-2","46","liking","","",""
"audio-keyboard-response","51","216006","0.0-8.0-0.3","hhr9ph","80","melody_01","null","","80/melody_01/b08.mp3","null","","","","","major-7th","","","","",""
"html-slider-response","52","221046","0.0-8.0-1.3","hhr9ph","80","melody_01","5038","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","major-7th","32","sorrowful","","",""
"html-slider-response","53","223598","0.0-8.0-2.3","hhr9ph","80","melody_01","2551","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","major-7th","65","joyful","","",""
"html-slider-response","54","225015","0.0-8.0-3.3","hhr9ph","80","melody_01","1417","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","major-7th","81","bittersweet","","",""
"html-slider-response","55","227414","0.0-8.0-4.3","hhr9ph","80","melody_01","2399","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","major-7th","72","carefree","","",""
"html-slider-response","56","229318","0.0-8.0-5.3","hhr9ph","80","melody_01","1903","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","major-7th","75","liking","","",""
"audio-keyboard-response","57","242375","0.0-8.0-0.4","hhr9ph","80","melody_01","null","","80/melody_01/b05.mp3","null","","","","","50-minor","","","","",""
"html-slider-response","58","244789","0.0-8.0-1.4","hhr9ph","80","melody_01","2413","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","50-minor","71","sorrowful","","",""
"html-slider-response","59","246077","0.0-8.0-2.4","hhr9ph","80","melody_01","1288","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","50-minor","57","bittersweet","","",""
"html-slider-response","60","247573","0.0-8.0-3.4","hhr9ph","80","melody_01","1495","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","50-minor","27","joyful","","",""
"html-slider-response","61","249022","0.0-8.0-4.4","hhr9ph","80","melody_01","1448","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","50-minor","23","carefree","","",""
"html-slider-response","62","251639","0.0-8.0-5.4","hhr9ph","80","melody_01","2617","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","50-minor","66","liking","","",""
"audio-keyboard-response","63","264695","0.0-8.0-0.5","hhr9ph","80","melody_01","null","","80/melody_01/b04.mp3","null","","","","","75-minor","","","","",""
"html-slider-response","64","267022","0.0-8.0-1.5","hhr9ph","80","melody_01","2324","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","75-minor","32","joyful","","",""
"html-slider-response","65","269149","0.0-8.0-2.5","hhr9ph","80","melody_01","2127","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","75-minor","66","sorrowful","","",""
"html-slider-response","66","271997","0.0-8.0-3.5","hhr9ph","80","melody_01","2848","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","75-minor","37","carefree","","",""
"html-slider-response","67","273518","0.0-8.0-4.5","hhr9ph","80","melody_01","1521","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","75-minor","66","bittersweet","","",""
"html-slider-response","68","275101","0.0-8.0-5.5","hhr9ph","80","melody_01","1583","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","75-minor","56","liking","","",""
"audio-keyboard-response","69","288155","0.0-8.0-0.6","hhr9ph","80","melody_01","null","","80/melody_01/b14.mp3","null","","","","","ton-maj-3","","","","",""
"html-slider-response","70","290734","0.0-8.0-1.6","hhr9ph","80","melody_01","2577","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","ton-maj-3","56","bittersweet","","",""
"html-slider-response","71","292390","0.0-8.0-2.6","hhr9ph","80","melody_01","1656","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","ton-maj-3","44","carefree","","",""
"html-slider-response","72","294845","0.0-8.0-3.6","hhr9ph","80","melody_01","2454","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","ton-maj-3","35","sorrowful","","",""
"html-slider-response","73","297669","0.0-8.0-4.6","hhr9ph","80","melody_01","2824","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","ton-maj-3","42","joyful","","",""
"html-slider-response","74","299109","0.0-8.0-5.6","hhr9ph","80","melody_01","1439","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","ton-maj-3","29","liking","","",""
"audio-keyboard-response","75","312164","0.0-8.0-0.7","hhr9ph","80","melody_01","null","","80/melody_01/b13.mp3","null","","","","","ton-maj-2","","","","",""
"html-slider-response","76","314372","0.0-8.0-1.7","hhr9ph","80","melody_01","2207","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","ton-maj-2","28","carefree","","",""
"html-slider-response","77","316829","0.0-8.0-2.7","hhr9ph","80","melody_01","2457","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","ton-maj-2","58","bittersweet","","",""
"html-slider-response","78","318132","0.0-8.0-3.7","hhr9ph","80","melody_01","1303","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","ton-maj-2","71","sorrowful","","",""
"html-slider-response","79","319717","0.0-8.0-4.7","hhr9ph","80","melody_01","1585","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","ton-maj-2","18","joyful","","",""
"html-slider-response","80","321220","0.0-8.0-5.7","hhr9ph","80","melody_01","1502","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","ton-maj-2","59","liking","","",""
"audio-keyboard-response","81","334274","0.0-8.0-0.8","hhr9ph","80","melody_01","null","","80/melody_01/b02.mp3","null","","","","","100-minor","","","","",""
"html-slider-response","82","336124","0.0-8.0-1.8","hhr9ph","80","melody_01","1849","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","100-minor","64","bittersweet","","",""
"html-slider-response","83","337572","0.0-8.0-2.8","hhr9ph","80","melody_01","1448","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","100-minor","22","carefree","","",""
"html-slider-response","84","339140","0.0-8.0-3.8","hhr9ph","80","melody_01","1568","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","100-minor","14","joyful","","",""
"html-slider-response","85","340412","0.0-8.0-4.8","hhr9ph","80","melody_01","1272","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","100-minor","63","sorrowful","","",""
"html-slider-response","86","341612","0.0-8.0-5.8","hhr9ph","80","melody_01","1200","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","100-minor","58","liking","","",""
"audio-keyboard-response","87","354664","0.0-8.0-0.9","hhr9ph","80","melody_01","null","","80/melody_01/b07.mp3","null","","","","","100-major","","","","",""
"html-slider-response","88","356580","0.0-8.0-1.9","hhr9ph","80","melody_01","1915","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","100-major","67","joyful","","",""
"html-slider-response","89","358108","0.0-8.0-2.9","hhr9ph","80","melody_01","1528","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","100-major","31","sorrowful","","",""
"html-slider-response","90","359996","0.0-8.0-3.9","hhr9ph","80","melody_01","1887","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","100-major","41","bittersweet","","",""
"html-slider-response","91","361077","0.0-8.0-4.9","hhr9ph","80","melody_01","1081","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","100-major","68","carefree","","",""
"html-slider-response","92","363581","0.0-8.0-5.9","hhr9ph","80","melody_01","2504","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","100-major","41","liking","","",""
"audio-keyboard-response","93","376633","0.0-8.0-0.10","hhr9ph","80","melody_01","null","","80/melody_01/b09.mp3","null","","","","","ton-min-1","","","","",""
"html-slider-response","94","378611","0.0-8.0-1.10","hhr9ph","80","melody_01","1977","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","ton-min-1","60","carefree","","",""
"html-slider-response","95","381091","0.0-8.0-2.10","hhr9ph","80","melody_01","2479","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","ton-min-1","65","bittersweet","","",""
"html-slider-response","96","382379","0.0-8.0-3.10","hhr9ph","80","melody_01","1287","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","ton-min-1","69","joyful","","",""
"html-slider-response","97","383515","0.0-8.0-4.10","hhr9ph","80","melody_01","1135","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","ton-min-1","42","sorrowful","","",""
"html-slider-response","98","384917","0.0-8.0-5.10","hhr9ph","80","melody_01","1401","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","ton-min-1","42","liking","","",""
"audio-keyboard-response","99","397983","0.0-8.0-0.11","hhr9ph","80","melody_01","null","","80/melody_01/b11.mp3","null","","","","","ton-min-3","","","","",""
"html-slider-response","100","400140","0.0-8.0-1.11","hhr9ph","80","melody_01","2156","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","ton-min-3","58","bittersweet","","",""
"html-slider-response","101","402965","0.0-8.0-2.11","hhr9ph","80","melody_01","2825","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","ton-min-3","61","sorrowful","","",""
"html-slider-response","102","404781","0.0-8.0-3.11","hhr9ph","80","melody_01","1815","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","ton-min-3","40","joyful","","",""
"html-slider-response","103","407187","0.0-8.0-4.11","hhr9ph","80","melody_01","2406","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","ton-min-3","43","carefree","","",""
"html-slider-response","104","408611","0.0-8.0-5.11","hhr9ph","80","melody_01","1423","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","ton-min-3","58","liking","","",""
"audio-keyboard-response","105","421663","0.0-8.0-0.12","hhr9ph","80","melody_01","null","","80/melody_01/b03.mp3","null","","","","","minor-7th","","","","",""
"html-slider-response","106","423771","0.0-8.0-1.12","hhr9ph","80","melody_01","2108","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>joyful</b></p></div>","","","","","","minor-7th","29","joyful","","",""
"html-slider-response","107","425884","0.0-8.0-2.12","hhr9ph","80","melody_01","2111","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>sorrowful</b></p></div>","","","","","","minor-7th","54","sorrowful","","",""
"html-slider-response","108","428332","0.0-8.0-3.12","hhr9ph","80","melody_01","2448","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>carefree</b></p></div>","","","","","","minor-7th","60","carefree","","",""
"html-slider-response","109","429563","0.0-8.0-4.12","hhr9ph","80","melody_01","1231","","<div style=""width:500px;""><p>To what extent was the melody:</p><p style=""font-size:30px;""><b>bittersweet</b></p></div>","","","","","","minor-7th","75","bittersweet","","",""
"html-slider-response","110","431483","0.0-8.0-5.12","hhr9ph","80","melody_01","1919","","<div style=""width:500px;""><p>How much did you <em>like</em> this melody?</p></div>","","","","","","minor-7th","72","liking","","",""
"audio-keyboard-response","111","437125","0.0-9.0","hhr9ph","80","melody_01","5640","","audCalib/attnchk.mp3","32","","","","","","","","1","",""
"html-keyboard-response","112","442591","0.0-10.0","hhr9ph","80","melody_01","5464","","<p>Thank you for your responses.</br>You will now answer some basic demographic and musical background questions.</p><p>Press any key to continue.</p>","32","","","","","","","","","",""
"survey-text","113","448146","0.0-11.0","hhr9ph","80","melody_01","5554","","","","","","","","","","","","{""Q0"":""32"",""Q1"":""male""}",""
"survey-text","114","456986","0.0-12.0","hhr9ph","80","melody_01","8840","","","","","","","","","","","","{""Q0"":""Y"",""Q1"":""Y""}",""
"survey-text","115","501178","0.0-13.0","hhr9ph","80","melody_01","44192","","","","","","","","","","","","{""Q0"":""ode to joy"",""Q1"":""funeral dirge"",""Q2"":""forrest gump main theme"",""Q3"":""main theme american beauty""}",""
"survey-multi-choice","116","508850","0.0-14.0","hhr9ph","80","melody_01","7670","","","","","","","","","","","","{""Q0"":""happy""}","1"
